month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,eco_category,lease_commence_date,latitude,longitude,elevation,subzone,planning_area,region,resale_price,x,y,mrt_2km,mrt_1km,mrt_ndist,prisch_2km,prisch_1km,prisch_ndist,secsch_2km,secsch_1km,secsch_ndist,markets_2km,markets_1km,markets_ndist,malls_2km,malls_1km,malls_ndist,comm_2km,comm_1km,comm_ndist
2001-08,pasir ris,4 room,440,pasir ris drive 4,01 to 03,118.0,model a,uncategorized,1989,1.36900809318448,103.958696603631,0.0,pasir ris drive,pasir ris,east region,209700.0,35.96,16.53,2,0,1.14,9,5,0.34,7,4,0.43,1,1,0.95,2,0,1.03,0,0,2.31
2014-10,punggol,5-room,196B,punggol field,10 to 12,110.0,improved,uncategorized,2003,1.39900711138633,103.90699055025499,0.0,punggol field,punggol,north-east region,402300.0,30.21,19.86,25,9,0.11,16,8,0.16,8,6,0.31,0,0,3.78,6,4,0.8,1,0,1.47
2020-09,sengkang,5 room,404A,fernvale lane,01 to 03,112.0,premium apartment,uncategorized,2004,1.38834821726982,103.873814853605,0.0,fernvale,sengkang,north-east region,351000.0,26.52,18.68,7,2,0.48,9,2,0.19,4,1,0.56,1,0,1.81,4,2,0.45,1,0,1.44
2000-10,clementi,3 room,375,clementi avenue 4,07 to 09,67.0,new generation,uncategorized,1980,1.31849298732444,103.766701647482,0.0,clementi north,clementi,west region,151200.0,14.62,10.91,2,1,0.42,5,2,0.3,7,2,0.63,5,2,0.62,4,3,0.46,0,0,2.39
2013-01,bukit batok,3-room,163,bukit batok street 11,07 to 09,73.0,model a,uncategorized,1985,1.34814949552616,103.742658130106,0.0,bukit batok west,bukit batok,west region,318600.0,11.94,14.21,4,1,0.78,9,2,0.23,8,2,0.21,2,1,0.76,5,1,0.77,1,0,1.81
2001-01,bukit batok,3 room,240,Bukit Batok East Avenue 5,10 to 12,67.0,new generation,uncategorized,1985,1.35048816023781,103.754177773165,0.0,bukit batok east,bukit batok,west region,120600.0,13.22,14.47,3,2,0.53,7,3,0.41,6,2,0.35,1,0,1.99,4,1,0.54,0,0,2.62
2007-09,jurong west,4 room,647,jurong west street 61,13 to 15,100.0,model a,uncategorized,1998,1.34011129118365,103.69738808828899,0.0,jurong west central,jurong west,west region,248850.0,6.91,13.31,2,2,0.28,9,4,0.2,5,2,0.57,2,1,0.13,4,2,0.18,3,0,1.5
2010-11,geylang,5-room,3,pine close,16 to 18,110.0,improved,uncategorized,2000,1.30692877602799,103.883110476119,0.0,aljunied,geylang,central region,639000.0,27.56,9.62,6,3,0.11,4,1,0.72,6,3,0.42,9,3,0.11,7,1,0.9,1,0,1.7
2005-08,yishun,3 room,239,yishun ring road,04 to 06,67.0,new generation,uncategorized,1985,1.43359514649205,103.83968537360201,0.0,northland,yishun,north region,136800.0,22.73,23.71,3,1,0.69,9,5,0.21,8,2,0.22,2,0,1.14,5,3,0.06,0,0,4.04
2013-10,bukit batok,3-room,504,bukit batok street 52,10 to 12,60.0,improved,uncategorized,1988,1.35196560331027,103.754983672501,0.0,guilin,bukit batok,west region,261000.0,13.31,14.63,3,2,0.68,7,3,0.36,5,2,0.27,0,0,2.14,3,1,0.66,0,0,2.8
